status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angries,num_thankfuls,stress_score,topic
228735667216_10155253808992217,"b'George Harvey\'s carer found a note saying he was desperate to fly ""one last time before the wooden overcoat"".'",b'WW2 pilot takes to the skies aged 96',link,http://www.bbc.co.uk/news/uk-scotland-north-east-orkney-shetland-41774014?ocid=socialflow_facebook&ns_mchannel=social&ns_campaign=bbcnews&ns_source=facebook,2017-10-27 07:59:09,6098,111,346,5082,800,196,8,11,2,0,0.39085545722713866,uk,scotland
228735667216_10155253723087217,"b""Barnaby Joyce was wrongly elected because he held dual citizenship - now he's lost his seat it's stripped the government of its majority.""","b""Australia's deputy PM disqualified from office""",link,http://www.bbc.co.uk/news/world-australia-41772372?ocid=socialflow_facebook&ns_mchannel=social&ns_campaign=bbcnews&ns_source=facebook,2017-10-27 07:04:04,1410,112,109,1088,37,102,172,7,4,0,0.30745341614906835,world,australia
228735667216_10155253670132217,"b'Children are facing long waiting times and unequal access to mental health services, a report says.'","b""Young people in UK 'failed by mental health care'""",link,http://www.bbc.co.uk/news/health-41766092?ocid=socialflow_facebook&ns_mchannel=social&ns_campaign=bbcnews&ns_source=facebook,2017-10-27 06:34:47,2250,170,260,1731,23,12,11,332,141,0,-0.4229287090558767,health,
228735667216_10155253571242217,"b'25 minutes before President John F Kennedy was assassinated a mysterious call was made to a British local newspaper about ""some big news"" in America. #JFKFiles'","b""UK paper 'received anonymous JFK call'""",link,http://www.bbc.co.uk/news/uk-england-cambridgeshire-41773716?ocid=socialflow_facebook&ns_mchannel=social&ns_campaign=bbcnews&ns_source=facebook,2017-10-27 05:58:54,5572,254,712,4340,25,958,17,216,16,0,-0.07711038961038962,uk,england
228735667216_10155253516532217,"b""Spain's senate is expected to pass emergency measures, including sacking Catalan leader Carles Puigdemont who's leading the region's push for independence.""",b'Spain PM demands direct rule on Catalonia',link,http://www.bbc.co.uk/news/world-europe-41771294?ocid=socialflow_facebook&ns_mchannel=social&ns_campaign=bbcnews&ns_source=facebook,2017-10-27 05:14:06,817,104,73,627,36,18,13,14,110,0,-0.19633507853403143,world,europe
228735667216_10155253418077217,"b'It has been described as a ""remarkable discovery.""'",b'BBC Entertainment News',link,http://www.bbc.co.uk/news/uk-scotland-edinburgh-east-fife-41761590,2017-10-27 04:30:15,3680,111,1,2998,122,554,6,2,0,0,0.09210526315789473,uk,scotland
228735667216_10155253326237217,"b'""The pride and smiles we had when we saw [the US Navy] on the horizon was pure relief.""'",b'Sailors rescued after five months adrift',link,http://www.bbc.co.uk/news/world-us-canada-41772323?ocid=socialflow_facebook&ns_mchannel=social&ns_campaign=bbcnews&ns_source=facebook,2017-10-27 03:44:31,5985,118,298,4980,266,720,12,5,2,0,0.13482587064676618,world,us
228735667216_10155253248827217,"b'""If the twins make it, the next step will be reconstructing their skulls.""'",b'Conjoined twins separated in India',link,http://www.bbc.co.uk/news/world-asia-india-41772987?ocid=socialflow_facebook&ns_mchannel=social&ns_campaign=bbcnews&ns_source=facebook,2017-10-27 02:55:23,4328,112,110,3851,246,163,1,67,1,0,0.18723849372384938,world,asia
228735667216_10155253190517217,"b'For the past two years, a serial killer has been attacking pet cats in Britain.'",b'The cat killer stalking suburbia',link,http://www.bbc.co.uk/news/magazine-41595585?ocid=socialflow_facebook&ns_mchannel=social&ns_campaign=bbcnews&ns_source=facebook,2017-10-27 02:11:13,6344,571,791,1414,19,164,37,1719,2991,0,-0.4720081135902637,magazine,
228735667216_10155253078247217,"b""Amid an escalating crisis over Catalonia's push for independence.""",b'Catalan crisis: Spain Senate to vote on emergency powers',link,http://www.bbc.co.uk/news/world-europe-41771294?ocid=socialflow_facebook&ns_mchannel=social&ns_campaign=bbcnews&ns_source=facebook,2017-10-27 00:40:02,1301,100,88,1181,27,47,6,15,25,0,-0.029166666666666667,world,europe
228735667216_10155253038272217,"b'""To keep our linguistic democracy alive, we have to keep our languages alive.""'","b""The man who 'discovered' 780 Indian languages""",link,http://www.bbc.co.uk/news/world-asia-india-41718082?ocid=socialflow_facebook&ns_mchannel=social&ns_campaign=bbcnews&ns_source=facebook,2017-10-27 00:03:32,2058,80,284,1866,69,118,1,4,0,0,0.171875,world,asia
228735667216_10155252987367217,"b'Cuteness aside, the unique markings served a serious purpose.'","b""This Chinese dinosaur sported a 'bandit mask'""",link,http://www.bbc.co.uk/news/science-environment-41763478?ocid=socialflow_facebook&ns_mchannel=social&ns_campaign=bbcnews&ns_source=facebook,2017-10-26 23:20:59,1115,42,82,1024,33,42,12,2,2,0,0.22527472527472528,science,environment
228735667216_10155252915572217,b'Barnaby Joyce has been disqualified from parliament. #auspol',b'Australia deputy prime minister ruled ineligible for parliament',link,http://www.bbc.co.uk/news/world-australia-41771840?ocid=socialflow_facebook&ns_mchannel=social&ns_campaign=bbcnews&ns_source=facebook,2017-10-26 22:25:54,1464,147,85,1108,50,90,207,7,2,0,0.34831460674157305,world,australia
228735667216_10155252813537217,"b'The boat and its crew was seized days ago for ""illegally"" sailing into North Korean waters.'",b'Pyongyang to free South Korean fishing vessel',link,http://www.bbc.co.uk/news/world-asia-41771988?ocid=socialflow_facebook&ns_mchannel=social&ns_campaign=bbcnews&ns_source=facebook,2017-10-26 21:12:16,3240,61,98,3117,40,54,12,5,12,0,0.14227642276422764,world,asia
228735667216_10155252602282217,"b'The IKEA commercial showed a mother scolding her daughter for not ""bringing home a boyfriend"".'","b""Ikea apologises for 'sexist' China advert""",link,http://www.bbc.co.uk/news/world-asia-china-41757971?ocid=socialflow_facebook&ns_mchannel=social&ns_campaign=bbcnews&ns_source=facebook,2017-10-26 19:58:53,992,110,33,790,17,26,131,5,23,0,0.297029702970297,world,asia
