status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angries,num_thankfuls,stress_score,topic
5863113009_10155972990948010,"b'""I can\'t let anything in life I can\'t control slow me down or stop me from being who I want to be,\'\' he said.'","b""Stuttering isn't stopping the Astros' George Springer, who's now talking the talk""",link,http://www.latimes.com/sports/la-sp-springer-stutter-plaschke-20171027-story.html,2017-10-27 20:10:00,306,28,31,261,45,0,0,0,0,0,0.5,sports,
5863113009_10155972731973010,b'More than 300 women have accused James Toback of sexual misconduct.',"b""James Toback on new allegations by Rachel McAdams, Selma Blair: 'I have nothing to say about anything'""",link,http://www.latimes.com/entertainment/movies/la-et-mn-selma-blair-rachel-mcadams-james-toback-20171026-story.html,2017-10-27 19:40:01,180,29,12,90,2,30,2,12,44,0,-0.28888888888888886,entertainment,movies
5863113009_10155972721693010,b'The new election was held after the Supreme Court annulled the Aug. 8 presidential election.',"b""Clashes and violence continue after Kenya's disputed repeat presidential election""",link,http://www.latimes.com/world/africa/la-fg-kenya-election-clashes-20171027-story.html,2017-10-27 18:40:00,30,12,12,15,2,9,1,3,0,0,0.0,world,africa
5863113009_10155972700298010,b'The teenager says the police officer spent months gaining her trust before coercing her into having sex with him.',b'Teenager at center of LAPD cadet scandal files claim against city over alleged sex abuse',link,http://www.latimes.com/local/lanow/la-me-ln-cadet-sex-abuse-lawsuit-20171027-story.html,2017-10-27 18:10:00,101,8,14,43,4,10,2,13,29,0,-0.3103448275862069,local,lanow
5863113009_10155972671643010,b'The U.S. and Mexico are teaming up.',b'The U.S. and Mexico want to slow migration from Central America. Will mass deportations help?',link,http://www.latimes.com/world/mexico-americas/la-fg-mexico-us-security-20171026-story.html,2017-10-27 17:40:01,118,46,26,82,5,10,15,2,4,0,0.19444444444444445,world,mexico-americas
5863113009_10155972667588010,"b""It's on.""","b'Under Trump, the lines are drawn for a battle over resources in the West'",link,http://www.latimes.com/nation/la-na-western-confrontation-20171027-story.html,2017-10-27 17:10:00,58,18,32,31,2,4,3,1,17,0,-0.24074074074074073,nation,
5863113009_10155972664128010,"b""For many on Wall Street and in Silicon Valley, change is virtually invisible.\n\nColumnist Michael Hiltzik's latest.""","b""Wall Street and high-tech sex harassment scandals offer a lesson for Hollywood: Change won't happen quickly""",link,http://www.latimes.com/business/hiltzik/la-fi-hiltzik-harassment-hollywood-20171027-story.html,2017-10-27 16:40:01,19,6,3,11,3,0,0,2,3,0,-0.125,business,hiltzik
5863113009_10155972371143010,"b""He's willing and able to save his son's life \xe2\x80\x93 but he is not allowed to do so. \n\n(via Los Angeles Times Opinion)""","b""He violated his probation. Now he can't give his child a kidney""",link,http://www.latimes.com/opinion/op-ed/la-oe-martin-morrison-aj-burgess-kidneys-20171027-story.html,2017-10-27 16:03:00,181,40,22,28,4,12,1,35,101,0,-0.42810457516339867,opinion,op-ed
5863113009_10155972493443010,"b'Are Hollywood agents doing enough to protect their clients from abuse? \n\n""To the agents who sent us to meet a Monster: I hope you enjoyed that 10%,"" wrote actress Rose McGowan, who has accused Weinstein of raping her.'","b'As Harvey Weinstein scandal spreads, talent agencies and guilds face tough questions'",link,http://www.latimes.com/business/hollywood/la-fi-ct-weinstein-agents-unions-20171027-story.html,2017-10-27 15:33:01,100,17,16,74,3,2,4,1,16,0,-0.19230769230769232,business,hollywood
5863113009_10155972388978010,b'The opioid epidemic is now a national public health emergency.',"b""California's opioid death rate is among the nation's lowest. Experts aren't sure why""",link,http://www.latimes.com/health/la-me-ln-california-opioids-20171026-htmlstory.html,2017-10-27 14:55:00,574,269,217,462,26,17,58,9,2,0,0.32589285714285715,health,
5863113009_10155971940053010,b'Black women in Texas are dying at the highest rates of all.',b'Pregnancy and childbirth are killing African American women at inexplicable rates',link,http://www.latimes.com/world/global-development/la-na-texas-black-maternal-mortality-2017-htmlstory.html,2017-10-27 14:25:01,670,46,248,141,3,50,1,336,139,0,-0.44517958412098296,world,global-development
5863113009_10155971742168010,"b""Faced with the unpopularity of tax cuts that are enormously regressive, the Republicans' strategy is simple: pretend they're not.\n\nvia Los Angeles Times Opinion""","b""It's not just Trump, it's the whole GOP that calls 'fake things true and true things fake'""",link,http://www.latimes.com/opinion/op-ed/la-oe-litt-flake-tax-plan-20171027-story.html,2017-10-27 13:55:01,1205,169,597,672,10,30,79,34,380,0,-0.3048780487804878,opinion,op-ed
5863113009_10155972161258010,b'Prosecutors alleged that he had more than 600 pornographic images of children.',"b'Bruce Paddock, brother of Las Vegas gunman, pleads not guilty to child porn charges'",link,http://www.latimes.com/local/lanow/la-me-ln-bruce-paddock-court-20171027-story.html,2017-10-27 13:18:30,150,50,21,54,3,29,6,3,55,0,-0.2552083333333333,local,lanow
5863113009_10155972051383010,"b'The investigation found ""it is more likely than not that Bocanegra engaged in behavior that night which does not meet the Assembly\'s expectations for professionalism.""'",b'California Assemblyman was disciplined after woman claimed he groped her',link,http://www.latimes.com/politics/la-pol-ca-raul-bocanegra-harassment-20171027-htmlstory.html,2017-10-27 12:59:00,78,8,18,56,4,10,0,0,8,0,-0.09090909090909091,politics,
5863113009_10155971953663010,"b'The anonymous tip about ""big news"" in the U.S. came 25 minutes before President John F. Kennedy was shot, according to newly released files.'",b'British newspaper got mystery call before John F. Kennedy was shot',link,http://www.latimes.com/nation/la-na-fbi-files-revelations-20171027-story.html,2017-10-27 12:32:00,205,35,56,130,2,66,2,4,1,0,-0.006666666666666667,nation,
5863113009_10155971698988010,"b""The Dodgers' highly regarded pitching coach's contract is up once the World Series ends.""",b'Could this be the last week for Dodgers pitching coach Rick Honeycutt?',link,http://www.latimes.com/sports/mlb/la-sp-dodgers-honeycutt-20171026-story.html,2017-10-27 12:05:01,93,23,2,65,0,16,0,12,0,0,-0.21428571428571427,sports,mlb
5863113009_10155971549488010,"b""Eataly is finally opening in Los Angeles, and it'll be like Disneyland for anyone who loves fresh pasta, pizzas, cheese, bread and wine.""","b'Everything you need to know about (and eat!) at the new Eataly in Century City, open Nov. 3'",link,http://www.latimes.com/food/dailydish/la-fo-eataly-20171103-story.html,2017-10-27 11:36:00,5066,2079,899,4163,690,201,11,2,0,0,0.3866150442477876,food,dailydish
5863113009_10155971694313010,b'This would punish Russia for interfering in the 2016 presidential election.',b'Trump administration belatedly takes step toward new Russia sanctions',link,http://www.latimes.com/politics/washington/la-na-pol-essential-washington-updates-trump-administration-belatedly-takes-1509115970-htmlstory.html,2017-10-27 11:07:00,119,86,15,68,0,5,28,1,17,0,0.09803921568627451,politics,washington
5863113009_10155971225888010,"b'It took a single tie-breaking vote to deny consumers the right to file class-action lawsuits over possibly unfair or illegal business practices, writes columnist David Lazarus.'","b'By a single vote, Republicans throw out years of work on consumer protection'",link,http://www.latimes.com/business/lazarus/la-fi-lazarus-senate-arbitration-rule-20171027-story.html,2017-10-27 10:35:01,2893,263,1578,422,1,72,17,217,2164,0,-0.47814649939295834,business,lazarus
5863113009_10155971533628010,"b'Their engine lost power. Their water purifier stopped working. And for months, no one heard their daily distress calls.'",b'Two women sailing from Hawaii to Tahiti are rescued after five months lost in the Pacific',link,http://www.latimes.com/nation/la-na-sailors-rescued-20171026-story.html,2017-10-27 10:09:51,1096,41,91,749,58,277,7,5,0,0,0.08645533141210375,nation,
5863113009_10155971440773010,b'A fast-moving wildfire springs up in Southern California after a motorcyclist crashes into a tree.',"b""Mandatory evacuations ordered in 700-acre fire in SoCal's Cleveland National Forest""",link,http://www.latimes.com/local/lanow/la-me-ln-wildomar-fire-20171027-story.html,2017-10-27 09:43:01,1047,44,262,214,2,273,1,548,9,0,-0.3325330132052821,local,lanow
5863113009_10155971344088010,"b""This historic vote sets the region on a collision course with Spain's central government.""",b'Catalonia declares independence from Spain',link,http://www.latimes.com/world/europe/la-fg-spain-catalonia-senate-20171027-story.html,2017-10-27 09:10:43,549,70,123,375,42,108,4,12,8,0,0.07471264367816093,world,europe
5863113009_10155971217903010,"b""The far left thinks Sen. Dianne Feinstein is too moderate, but that's her political sweet spot.""","b""Here's why Republicans could help send Feinstein back to D.C. \xe2\x80\x94 even if they can't stand her""",link,http://www.latimes.com/politics/la-pol-ca-on-politics-column-20171027-story.html,2017-10-27 08:48:01,127,92,16,102,5,2,12,0,6,0,0.22,politics,
5863113009_10155971168448010,b'How does an Arts District with no artists sound?',"b""Rent hikes and evictions \xe2\x80\x94 is this the last stand for artists in L.A.'s Arts District?""",link,http://www.latimes.com/entertainment/arts/miranda/la-et-cam-last-stand-artists-arts-district-20171027-htmlstory.html,2017-10-27 08:13:35,235,46,68,113,2,7,8,66,39,0,-0.38934426229508196,entertainment,arts
5863113009_10155970016513010,"b'He wants to be the ""No. 1 pitcher in the world.""'","b""Yu Darvish hasn't waited his whole life for the World Series, so he's free from the pressure of the moment""",link,http://www.latimes.com/sports/la-sp-dodgers-darvish-20171026-story.html,2017-10-27 06:30:00,776,76,39,686,48,3,34,2,3,0,0.42777777777777776,sports,
5863113009_10155969665878010,b'First things first: Day of the Dead has nothing to do with Halloween.',b'Spirited celebration: Marking Dia de los Muertos \xe2\x80\x94 Day of the Dead \xe2\x80\x94 in and around L.A.',link,http://www.latimes.com/home/la-hm-dia-de-los-muertos-20171028-story.html,2017-10-27 04:30:00,589,30,155,531,52,2,4,0,1,0,0.4661016949152542,home,
5863113009_10155969700653010,"b""Here's one thing: The opioid epidemic has claimed more than 190,000 lives since 1999.""","b""What's behind the opioid crisis that prompted a declaration from Trump?""",link,http://www.latimes.com/politics/washington/la-na-pol-essential-washington-updates-what-s-behind-the-opioid-crisis-that-1509041260-htmlstory.html,2017-10-27 02:30:00,76,68,24,47,2,5,0,14,8,0,-0.3448275862068966,politics,washington
5863113009_10155969618873010,"b'A former LAPD officer sexually abused her while she was a cadet, investigators say.'",b'Teenager in LAPD cadet scandal files claim over alleged sex abuse',link,http://www.latimes.com/local/lanow/la-me-ln-lapd-cadet-sex-lawsuit-20171026-story.html,2017-10-27 01:30:00,39,2,8,19,2,2,4,1,11,0,-0.15,local,lanow
5863113009_10155969949058010,"b""They've hit home runs and helped their teams rally wins. \n\nThose types of highlights have helped lift spirits around the island.""",b'Puerto Rican players take center stage in the World Series',link,http://www.latimes.com/sports/mlb/la-sp-world-series-puerto-rico-20171026-story.html,2017-10-27 00:00:00,113,4,7,98,14,1,0,0,0,0,0.4666666666666667,sports,mlb
5863113009_10155969853663010,"b'Workers using sledgehammers, torches, pickaxes and battery-operated tools are going to test it.'","b'The border wall prototypes have been built. The next step is to test them, officials say'",link,http://www.latimes.com/local/lanow/la-me-border-wall-prototypes-20171026-story.html,2017-10-26 23:35:00,1482,668,338,434,31,56,524,38,399,0,0.05629770992366412,local,lanow
5863113009_10155969472188010,"b""iPhone X pre-orders begin tomorrow. Here's how the two models stack up:""","b'With iPhone 8 and iPhone X, Apple creates another tier of luxury'",link,http://www.latimes.com/business/technology/la-fi-tn-apple-iphone-20170912-htmlstory.html,2017-10-26 22:30:00,117,5,9,106,3,1,5,1,1,0,0.2727272727272727,business,technology
5863113009_10155969883333010,b'They allege in the lawsuit that Uber favors men and white and Asian American workers over everyone else.',"b'Three Latina engineers sue Uber, saying it underpays women and minorities'",link,http://www.latimes.com/business/technology/la-fi-tn-uber-wages-20171026-story.html,2017-10-26 22:00:01,176,37,27,124,8,22,12,1,9,0,0.09615384615384616,business,technology
5863113009_10155969685368010,"b'Once the home runs started, they kept on coming.'","b'Game 2 sets World Series records for combined home runs, extra-inning home runs'",link,http://www.latimes.com/sports/la-sp-world-series-game-2-sets-world-series-records-for-1509042281-htmlstory.html,2017-10-26 21:30:00,51,4,5,44,1,5,0,0,1,0,0.0,sports,
5863113009_10155969943973010,b'The duel went from the field to the hotel bar.',"b'Houston Astros management involved in altercation at Pasadena hotel after Game 1 of World Series, police say'",link,http://www.latimes.com/local/lanow/la-me-ln-astros-dodgers-pasadena-20171026-story.html,2017-10-26 20:55:00,296,33,34,200,1,48,38,3,6,0,0.15625,local,lanow
5863113009_10155969804123010,b'He returned 91 years later.',b'102-year-old-actor who watched Babe Ruth split his pants on a slide goes to first World Series since 1926',link,http://www.latimes.com/local/lanow/la-me-ln-norman-lloyd-world-series-20171026-story.html,2017-10-26 20:33:01,2454,23,284,2071,238,137,6,2,0,0,0.31592689295039167,local,lanow
5863113009_10155969838658010,b'The driver slowly drove into protesters as they held up traffic. No injuries were reported.',"b""Car drives into immigration protesters outside Rep. Ed Royce's office in Brea""",link,http://www.latimes.com/politics/la-pol-ca-car-protesters-royce-20171026-story.html,2017-10-26 19:50:02,376,92,48,90,7,18,35,18,208,0,-0.32167832167832167,politics,
5863113009_10155969592218010,"b""It's good news for local business owners, who said the hub would've hurt the shops and restaurants' foot traffic.""","b'Disneyland puts transportation hub on hold, reveals plan to build parking structure within resort'",link,http://www.latimes.com/business/la-fi-disneyland-parking-20171026-story.html,2017-10-26 19:33:01,91,10,8,78,3,6,3,0,1,0,0.19230769230769232,business,
5863113009_10155969571648010,b'The sketches are of two unidentified people whose DNA were found on her body and clothes.',"b""Sherri Papini's husband hopes that sketches of kidnapping suspects lead to their capture""",link,http://www.latimes.com/local/lanow/la-me-ln-papini-shasta-20171026-story.html,2017-10-26 19:05:01,59,8,8,43,3,5,1,6,1,0,-0.09375,local,lanow
5863113009_10155969741468010,b'Some documents that contain sensitive national security and law enforcement information are being withheld.',"b'Thousands of JFK assassination documents are released, though Trump orders some to be kept secret for now'",link,http://www.latimes.com/nation/nationnow/la-na-jfk-files-20171026-story.html,2017-10-26 19:01:21,188,67,58,131,2,14,6,2,33,0,-0.23684210526315788,nation,nationnow
5863113009_10155969542303010,b'He says emails and his personnel file can be used to defend himself and his former studio.',b'Harvey Weinstein has sued his own company for documents to defend himself against claims of sexual abuse',link,http://www.latimes.com/business/hollywood/la-fi-ct-harvey-weinstein-lawsuit-20171026-story.html,2017-10-26 18:39:27,30,11,1,11,2,1,14,0,2,0,0.3684210526315789,business,hollywood
5863113009_10155969486548010,"b""The Astros have a chance to end the Dodgers' season before the weekend is over.""","b'Dodgers head to Houston, where Astros have been unbeatable'",link,http://www.latimes.com/sports/dodgers/la-sp-dodgers-astros-situationer-20171025-story.html,2017-10-26 18:05:01,433,147,35,272,23,39,14,19,66,0,-0.14906832298136646,sports,dodgers
5863113009_10155969416238010,b'More than two dozen new species of dinosaurs have been discovered at this Utah monument.',"b""Trump's push for coal mining will endanger dinosaur discoveries in Utah, scientists fear""",link,http://www.latimes.com/nation/la-na-pol-trump-national-monuments-20171026-htmlstory.html,2017-10-26 17:33:00,313,62,86,79,5,16,11,34,168,0,-0.3974358974358974,nation,
5863113009_10155969142773010,b'The L.A. Police Chief personally arrested him when they reviewed text messages between the police officer and the victim.',b'Teenager in LAPD cadet scandal files claim over alleged sex abuse',link,http://www.latimes.com/local/lanow/la-me-ln-lapd-cadet-sex-lawsuit-20171026-story.html,2017-10-26 17:00:02,58,3,11,46,2,7,3,0,0,0,0.20833333333333334,local,lanow
5863113009_10155969093883010,b'Everyone in America should make it a priority to stop this madness.\n\nvia Los Angeles Times Opinion',"b""Mere weeks after Las Vegas, the GOP is quietly pushing a gun-lover's pipe dream""",link,http://www.latimes.com/opinion/editorials/la-ed-guns-reciprocity-concealed-carry-20171025-story.html,2017-10-26 16:20:01,1234,172,472,395,24,40,22,72,681,0,-0.42133492252681765,opinion,editorials
5863113009_10155969097318010,b'It worked in college.',"b""Luke Walton sees no problem with Lonzo Ball's shooting form""",link,http://www.latimes.com/sports/lakers/la-sp-lakers-newsletter-20171026-story.html,2017-10-26 15:40:00,37,7,4,33,4,0,0,0,0,0,0.5,sports,lakers
