status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angries,num_thankfuls,stress_score,topic,
26781952138_10155955241877139,b'A must read for tea lovers!',"b""6 Scary Side Effects Of Tea That You Didn't Know""",link,http://recipes.timesofindia.com/articles/health/6-scary-side-effects-of-tea-that-you-didnt-know/anxiety-and-restlessness/photostory/60410032.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,10/28/17 8:30,286,352,43,247,4,8,16,7,4,0,0.115384615,,
26781952138_10155957618542139,"b""You can't afford to miss the pictures of this star-studded affair!""",b'The Times of India | Life & Style',link,https://timesofindia.indiatimes.com/life-style/fashion/celeb-style/%20Who-wore-what-at-Gauri-Khans-Halloween-party%20-/photostory/61299272.cms,10/28/17 8:20,311,11,0,307,4,0,0,0,1,0,0.3,life-style,fashion
26781952138_10155957613712139,b'A step towards averting possible conflict?',b'Catalan police call for neutrality as Spain exerts control',link,https://timesofindia.indiatimes.com/world/europe/catalan-police-call-for-neutrality-as-spain-exerts-control/articleshow/61300946.cms?utm_source=facebook.com&utm_medium=social&utm_campaign=TOI&utm_content=om-bm,10/28/17 8:18,99,8,5,93,3,0,3,0,0,0,0.5,world,europe
26781952138_10155957603107139,"b'India was No. 3 in 2015 in terms of app downloads, but the Jio phenomenon pushed it to the top the following year.'",b'India widens lead in app downloads driven by Jio launch',link,https://www.gadgetsnow.com/tech-news/india-widens-lead-in-app-downloads-driven-by-jio-launch/articleshow/61291289.cms?utm_source=facebook.com&utm_medium=social&utm_campaign=TOI&utm_content=om-bm,10/28/17 8:15,50,0,2,50,0,0,0,0,0,0,0,,
26781952138_10155957564697139,"b'If found guilty, they face a mandatory death sentence. In Malaysia, that means they would be hanged.'","b""North Korean 'masterminds' evade Kim Jong Nam's murder trial""",link,https://timesofindia.indiatimes.com/world/rest-of-world/north-korean-masterminds-evade-kim-jong-nams-murder-trial/articleshow/61300621.cms?utm_source=facebook.com&utm_medium=social&utm_campaign=TOI&utm_content=om-bm,10/28/17 8:10,59,2,1,56,3,0,0,0,0,0,0.5,world,rest-of-world
26781952138_10155957571402139,b'\xe2\x80\xaaInteresting facts about birthday girl Aditi Rao Hydari',"b""Happy Birthday Aditi Rao Hydari:10 interesting facts you've got to know about the actor! :::Bombay Times - Times of India::""",link,http://www.bombaytimes.com/celebs/happy-birthday-aditi-rao-hydari10-interesting-facts-youve-got-to-know-about-the-actor/photostory/61288759.cms?utm_source=facebook.com&utm_medium=social&utm_campaign=TOI,10/28/17 8:02,135,2,0,125,10,0,0,0,0,0,0.5,,
26781952138_10155957567152139,b'\xe2\x80\xaaVidya Balan reacts on the #NationalAnthem controversy',"b""Vidya Balan: I don't think the National Anthem should be played before the films""",link,http://www.misskyra.com/celebs/vidya-balan-i-dont-think-the-national-anthem-should-be-played-before-the-films/articleshow/61300457.cms?utm_source=facebook.com&utm_medium=social&utm_campaign=TOI,10/28/17 7:59,1314,288,27,1051,116,8,20,2,119,0,0.028301887,,
26781952138_10155957560972139,b'\xe2\x80\xaaKaran Johar talks about his equation with Shah Rukh Khan',b'Karan Johar: Shah Rukh Khan is my true partner in crime!',link,http://www.bombaytimes.com/celebs/karan-johar-shah-rukh-khan-is-my-true-partner-in-crime/articleshow/61299917.cms?utm_source=facebook.com&utm_medium=social&utm_campaign=TOI,10/28/17 7:56,224,6,0,214,6,0,4,0,0,0,0.5,,
26781952138_10155957546762139,b'Local officials fear a lack of family planning could stretch resources in the impoverished country even further.',b'How Bangladesh plans to curb Rohingya population',link,https://timesofindia.indiatimes.com/world/south-asia/bangladesh-eyes-sterilisation-to-curb-rohingya-population/articleshow/61285517.cms?utm_source=facebook.com&utm_medium=social&utm_campaign=TOI&utm_content=om-bm,10/28/17 7:47,80,3,4,75,2,0,2,1,0,0,0.3,world,south-asia
26781952138_10155957533542139,b'Elon Musk is known for his views against artificial intelligence.',"b""World's first robot citizen takes a dig at Elon Musk""",link,https://www.gadgetsnow.com/tech-news/worlds-first-robot-citizen-takes-a-swipe-at-elon-musk/articleshow/61300610.cms?utm_source=facebook.com&utm_medium=social&utm_campaign=TOI&utm_content=om-bm,10/28/17 7:40,832,40,85,729,11,13,69,1,9,0,0.339805825,,
